句子,句型,人工判断
“过去在基地的一位老战士前两天来看我,未知句型,
带来这个……不,否定句,
不,否定句,
你拿去,未知句型,
人工种植的,未知句型,
不是什么珍贵的东西,肯定句,错
我血压高,未知句型,
根本用不着的,否定句,
你可以切成薄片泡茶喝,肯定句,对
我看你脸色,未知句型,
好像血很亏的样子,未知句型,
年轻人,未知句型,
一定,未知句型,
要爱护自己啊,未知句型,
”,未知句型,
汪淼的心中涌起一股暖流,未知句型,
双眼湿润了,未知句型,
他那颗两天来绷得紧紧的心脏像被放到了柔软的天鹅绒上,被字句,
“叶老师,未知句型,
我会常来看您的,未知句型,
”他接过木盒说,未知句型,
6.宇宙闪烁之一,未知句型,
汪淼驱车沿京密路到密云县,未知句型,
再转至黑龙潭,未知句型,
又走了一段盘山路,未知句型,
便到达中科院国家天文观测中心的射电天文观测基地,未知句型,
他看到二十八面直径为九米的抛物面天线在暮色中一字排开,未知句型,
像一排壮观的钢铁植物,未知句型,
2006 年建成的两台高大的五十米口径射电望远镜天线矗立在这排九米天线的尽头,未知句型,
车驶近后,未知句型,
它们令汪淼不由想起了那张杨冬母女合影的背景,否定句,
但叶文洁的学生从事的项目与这些射电望远镜没有什么关系,否定句,
沙瑞山博士的实验室主要接收三颗卫星的观测数据：1989 年 11 月升空、即将淘汰的微波背景探测卫星 COBE,未知句型,
2003 年发射的威尔金森微波各向异性探测卫星 WMAP 和 2007 年欧洲航天局发射的普朗克高精度宇宙微波背景探测卫星 Planck,未知句型,
宇宙整体的微波背景辐射频谱非常精确地符合温度为2.726K的黑体辐射谱,否定句,
具有高度各向同性,未知句型,
但在不同局部也存在大约百万分之五涨落的幅度,否定句,
沙瑞山的工作就是根据卫星观测数据,肯定句,对
重新绘制一幅更精确的全宇宙微波辐射背景图,未知句型,
这个实验室不大,否定句,
主机房中挤满了卫星数据接收设备,未知句型,
有三台终端分别显示来自三颗卫星的数据,未知句型,
沙瑞山见到汪淼,未知句型,
立刻表现出了那种长期在寂寞之地工作的人见到来客的热情,未知句型,
问他想了解哪方面的观测数据,未知句型,
“我想现测宇宙背景辐射的整体波动,未知句型,
”,未知句型,
“您能……说具体些吗,疑问句,
”沙瑞山看汪淼的眼神变得奇怪起来,未知句型,
“就是,肯定句,对
宇宙3K 微波背景辐射整体上的各向同性的波动,未知句型,
振幅在百分之一至百分之五之间,未知句型,
”,未知句型,
沙瑞山笑笑,未知句型,
早在本世纪初,未知句型,
密云射电天文基地就对游客开放参观,未知句型,
为挣些外快,未知句型,
沙瑞山时常做些导游或讲座的事,未知句型,
这种笑容就是他回答游客(他已适应了他们那骇人的科盲)问题时常常露出的,肯定句,对
“汪先生,未知句型,
您……不是搞这个专业的吧,肯定句,错
”,未知句型,
“我搞纳米材料,未知句型,
”,未知句型,
“哦,未知句型,
那就对了,未知句型,
不过,否定句,
对于宇宙3K 背景辐射,未知句型,
您大概有个了解吧,未知句型,
”,未知句型,
“知道的不多,否定句,
目前的宇宙起源理论认为,未知句型,
宇宙诞生于距今约一百四十亿年前的一次大爆炸,未知句型,
在诞生早期,未知句型,
宇宙温度极高,未知句型,
随后开始冷却,未知句型,
形成被称为微波背景辐射的‘余烬’,被字句,
这种弥漫全宇宙的残留背景辐射,未知句型,
在厘米波段上是可以观测到的,肯定句,
好像是在一九六几年吧,肯定句,
两个美国人在调试一个高精度卫星接收天线时意外地发现了宇宙背景辐射……”,未知句型,
“足够了,未知句型,
”沙瑞山挥手打断了汪淼的话,未知句型,
“那你就应该知道,未知句型,
与我们观测的不同部分的微小不均匀不同,否定句,
宇宙整体辐射背景波动是随着,肯定句,
宇宙的膨胀,未知句型,
在宇宙时间尺度上缓慢变化的,未知句型,
以 Planck 卫星的精度,未知句型,
直到一百万年后都未必能测出这种变化,未知句型,
你却想在今天晚上发现它百分之五的波动,未知句型,
知道这意味着什么吗,疑问句,
这意味着整个宇宙像一个坏了的日光灯管那样闪烁,未知句型,
”,未知句型,
而且是为我闪烁,肯定句,
汪淼心里说,未知句型,
“叶老师这是在开什么玩笑,肯定句,
”沙瑞山摇摇头说,未知句型,
“但愿真是个玩笑,肯定句,
”汪淼说,未知句型,
本想告诉他,未知句型,
叶文洁并不知道详情,否定句,
但又怕因此招致他的拒绝,未知句型,
不过这倒是他的心里话,肯定句,
“既然是叶老师交待的,肯定句,
就观测吧,未知句型,
反正也不费劲,否定句,
百分之一的精度,未知句型,
用老古董 COBE 就行了,未知句型,
”沙瑞山说着,未知句型,
在终端上忙活起来,未知句型,
很快屏幕上出现一条平直的绿线,未知句型,
“你看,未知句型,
这就是当前宇宙整体背景辐射的实时数值曲线,肯定句,
哦,未知句型,
应该叫直线才对,未知句型,
数值是 2.726 ±0.010K,肯定句,
那个误差是银河系运动产生的多普勒效应,肯定句,
已经滤掉了,未知句型,
如果发生你所说的超过百分之一振幅的波动,未知句型,
这条线就会变红并将波动显示出来,未知句型,
我敢打赌直到世界末日它也是条绿直线,肯定句,
要看到它显现肉眼看得到的变化,未知句型,
可能比看太阳毁灭还要等更长的时间,未知句型,
”,未知句型,
“这不会影响您的正常工作吧,否定句,
”,未知句型,
“当然不会,否定句,
那么粗的精度,未知句型,
用COBE 观察数据的边角料就足够了,未知句型,
好了,未知句型,
从现在开始,未知句型,
如果那伟大的波动出现,未知句型,
数值会自动存盘,未知句型,
”,未知句型,
“可能要等到凌晨一点,未知句型,
”,未知句型,
“哇,未知句型,
这么精确,未知句型,
没关系,未知句型,
反正我本来就是值夜班,肯定句,
您吃饭了吗,疑问句,
那好,未知句型,
我带您去参观一下吧,未知句型,
”,未知句型,
这一夜没有月亮,否定句,
他们沿着长长的天线阵列漫步,未知句型,
沙瑞山指着天线说：“壮观吧,未知句型,
可惜都是聋子的耳朵,肯定句,
”,未知句型,
“为什么,未知句型,
”,未知句型,
“自它们建成以来,未知句型,
在观测频段上就干扰不断,否定句,
先是上世纪八十年代末的寻呼台,肯定句,
到现在是疯狂发展的移动通信,肯定句,
这些米波综合孔径射电望远镜能做的那些项目,未知句型,
像米波巡天、射电变源、超新星遗迹研究等等,未知句型,
大部分都不能正常开展,否定句,
多次找过无委会(国家无线电管理委员会),未知句型,
没有用,否定句,
我们能玩得过中国移动、联通、网通,未知句型,
没有钱,否定句,
宇宙奥秘算个球,未知句型,
好在我的项目靠卫星数据,未知句型,
与这些‘旅游景观’无关了,未知句型,
”,未知句型,
“近年来很多基础研究的商业运行还是很成功的,肯定句,
比如高能物理,未知句型,
把观测基地建到离城市远些的地方应该好些吧,把字句,
”,未知句型,
“那还是钱的问题,肯定句,
就目前而言,未知句型,
只能是在技术上屏蔽干扰,肯定句,
唉,未知句型,
叶老师要在就好了,未知句型,
她在这方面造诣很深,未知句型,
”,未知句型,
然后,未知句型,
他们来到一间为游客开的通宵酒吧,未知句型,
沙瑞山一杯接着一杯地灌啤酒,未知句型,
变得更加健谈,未知句型,
话题集中在叶文洁身上,未知句型,
从她的学生那里,未知句型,
汪淼得知了她那历经风霜的前半生,未知句型,
7.疯狂年代,未知句型,
中国,未知句型,
1967 年,未知句型,
“红色联合”对“四·二八兵团”总部大楼的攻击已持续了两天,未知句型,
他们的旗帜在大楼周围躁动地飘扬着,未知句型,
仿佛渴望干柴的火种,未知句型,
“红色联合”的指挥官心急如焚,未知句型,
他并不惧怕大楼的守卫者,否定句,
那二百多名“四·二八”战士,未知句型,
与诞生于 1966 年初、经历过大检阅和大串联的“红色联合”相比要稚嫩许多,未知句型,
他怕的是大楼中那十几个大铁炉子,肯定句,
里面塞满了烈性炸药,未知句型,
用电雷管串联起来,未知句型,
他看不到它们,否定句,
但能感觉到它们磁石般的存在,未知句型,
开关一合,未知句型,
玉石俱焚,未知句型,
而“四·二八”的那些小红卫兵们是有这个精神力量的,肯定句,
比起已经在风雨中成熟了许多的第一代红卫兵,未知句型,
新生的造反派们像火炭上的狼群,未知句型,
除了疯狂还是疯狂,肯定句,
大楼顶上出现了一个娇小的身影,未知句型,
那个美丽的女孩子挥动着一面“四·二八”的大旗,未知句型,
她的出现立刻招来了一阵杂乱的枪声,未知句型,
射击的武器五花八门,未知句型,
有陈旧的美式卡宾枪、捷克式机枪和三八大盖,未知句型,
也有崭新的制式步枪和冲锋枪——后者是在“八月社论”发表之后从军队中偷抢来的——连同那些梭镖和大刀等冷兵器,肯定句,
构成了一部浓缩的近现代史……“四·二八”的人在前面多次玩过这个游戏,未知句型,
在楼顶上站出来的人,未知句型,
除了挥舞旗帜外,未知句型,
有时还用喇叭筒喊口号或向下撒传单,未知句型,
每次他们都能在弹雨中全身而退,未知句型,
为自己挣到了崇高的荣誉,未知句型,
这次出来的女孩儿显然也相信自己还有那样的幸运,未知句型,
她挥舞着战旗,未知句型,
挥动着自己燃烧的青春,未知句型,
敌人将在这火焰中化为灰烬,未知句型,
理想世界明天就会在她那沸腾的热血中诞生……她陶醉在这鲜红灿烂的梦幻中,未知句型,
直到被一颗步枪子弹洞穿了胸膛,被字句,
十五岁少女的胸膛是那么柔嫩,肯定句,
那颗子弹穿过后基本上没有减速,否定句,
在她身后的空中发出一声啾鸣,未知句型,
年轻的红卫兵同她的旗帜一起从楼顶落下,未知句型,
她那轻盈的身体落得甚至比旗帜还慢,未知句型,
仿佛小鸟眷恋着天空,未知句型,
其实,未知句型,
比起另外一些人来,未知句型,
她还是幸运的,肯定句,
至少是在为理想献身的壮丽激情中死去,肯定句,
这样的热点遍布整座城市,未知句型,
像无数并行运算的CPU,未知句型,
将“文革大革命”联为一个整体,未知句型,
疯狂如同无形的洪水,未知句型,
将城市淹没其中,未知句型,
并渗透到每一个细微的角落和缝隙,未知句型,
在城市边缘的那所著名大学的操场上,未知句型,
一场几千人参加的批斗会已经进行了近两个小时,未知句型,
在这个派别林立的年代,未知句型,
任何一处都有错综复杂的对立派别在格斗,未知句型,
